"";"BirdId";"MS";"TA";"BH";"LogitH";"H";"LogitB";"B";"HT";"WL";"YP";"SY";"CL";"LogitSurvWS";"U";"TH";"SurvWS";"HS";"LS";"CS";"Cort";"Cho";"DS";"AgeN";"SexN";"Sex";"Age";"MonthNum";"Density";"Latitude";"Longitude";"ObsCatchNr";"Area";"Catching_loc";"CapDate";"SampleYear"
"423";"462";523;98;3,5;-0,40149422280569;0,4009533898;-5,13953496861791;0,00582627;0,103472222;NA;2;"2017_2018";"Vlieland";1,98733774499259;NA;122,5999985;0,879461199;NA;NA;NA;NA;NA;47;3;1;"F";"Adult";2;69,6336299464449;53,2480011;4,960999966;"66902233";"Vlieland, Vliehors, Kwelder ten zuiden van Kroonpolders";"Vlieland";"18-12-2017";"2017_2018"
"557";"709";643;102;2,200000048;0,142804173887491;0,5356404959;-5,03617307792275;0,00645661157;0,153472222;272;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,858;127,4000015;0,748643373;59,3;66,7;85,8;7,675650479;9,1;111;3;1;"F";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"608";"764";751;97;3;-0,156235183189848;0,461020461;-4,91919855548416;0,00725200725;0,050694444;274;2;"2016_2017";"Balgzand&Texel";1,90010529952185;0,653;129;0,869903443;68,3;72;83;1,759301731;6,2;119;3;1;"F";"Adult";4;13,5771660679298;53,01968765;4,804700851;"66900365";"Molenkolk Texel";"Balgzand&Texel";"28-2-2017";"2016_2017"
"1092";"1828";607;97;3,299999952;-0,307645212094878;0,4236896197;-5,08243902543033;0,00616649538;0,169444444;263;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,332;117,9000015;0,748643373;65;70,1;83,7;14,34610312;8,4;111;3;1;"F";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"1093";"2403";578;98;5,099999905;-0,305132179686195;0,4243033611;-5,51198761523713;0,00402183281;0,190277778;262;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,395;120,5999985;0,748643373;59;66,5;86;11,19727674;6,3;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1094";"3510";532;94;5,300000191;NA;NA;NA;NA;0,196527778;258;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,361;114,5;0,748643373;61,3;67,8;85;7,829327956;9,4;110;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902259";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"19-2-2018";"2017_2018"
"1095";"3541";525;93;4,800000191;-0,221011101695946;0,4449710374;-5,19216288469311;0,00552922591;0,161111111;268;2;"2017_2018";"Schiermonnikoog";1,09138997719443;0,481;114,8000031;0,748643373;66,8;71,2;83,3;14,78752141;7,5;111;3;2;"M";"Adult";4;195,968064520228;53,47543335;6,228872776;"66902260";"Schiermonnikoog, 2e Slenk";"Schiermonnikoog";"20-2-2018";"2017_2018"
"1096";"4750";498;92;3,599999905;NA;NA;NA;NA;0,179166667;262;2;"2016_2017";"Balgzand&Texel";1,90010529952185;NA;111,4000015;0,869903443;59,3;66,7;85,8;3,177440708;NA;119;3;2;"M";"Adult";4;13,5771660679298;53,01968765;4,804700851;"66900365";"Molenkolk Texel";"Balgzand&Texel";"28-2-2017";"2016_2017"
"1097";"5303";539;98;3,5;-0,468671866627986;0,3849306431;-4,8353290721317;0,0078814628;0,104861111;275;2;"2017_2018";"Oosterschelde";2,43187440190775;0,226;122,1999969;0,919225816;64,7;69,9;83,8;7,923705647;5,9;90;3;1;"F";"Adult";3;123,628156733349;51,54185104;3,900662899;"66902257";"Schor Wilhelminapolder, Zeeland";"Oosterschelde";"30-1-2018";"2017_2018"
"1098";"5361";673;97;3,5;-0,174879032635693;0,4563913244;-5,1906393524817;0,0055376096;0,177777778;270;2;"2016_2017";"Vlieland";1,02065131851582;1,398;128,3000031;0,735099449;NA;NA;NA;NA;6,7;77;3;1;"F";"Adult";3;71,7787998384328;53,24000168;4,949999809;"66900333";"Vliehors, Kazerne-oost";"Vlieland";"17-1-2017";"2016_2017"
