"";"BirdId";"Area";"MS";"TA";"BH";"LogitH";"LogitB";"HT";"HT2";"YP";"SY";"CL";"LogitSurvWS";"U_perVolBlood";"Cort";"Cho_perVolBlood";"DS";"AgeN";"SexN";"Sex";"Age";"SeenF";"Seen";"Area_Model";"Area1";"nHT";"nHT2";"nBH";"nDS"
"315";"10740";"Schor Wilhelminapolder, Zeeland";520;97;3,099999905;-0,201887758760919;-4,80371741643178;0,183333333;0,0336111109888889;2;"2017_2018";"Oosterschelde";2,43187440190775;1,01075555559059;7,840218029;9,77555555589444;90;3;1;"F";"Adult";"0";0;"D";2;0,370640895922376;0,176117585493455;-1,2027315319308;1,00702872822001
"316";"10741";"Schor Wilhelminapolder, Zeeland";488;97;3,200000048;NA;NA;0,184027778;0,0338662230756173;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;6,609853018;NA;90;3;1;"F";"Adult";"1";1;"D";2;0,380801953587898;0,187357524632397;-1,10385143318372;1,00702872822001
"317";"10749";"Schor Wilhelminapolder, Zeeland";540;102;5,400000095;-0,156153379879804;-5,28066243115856;0,185416667;0,0343793404013889;2;"2017_2018";"Oosterschelde";2,43187440190775;2,24950210738757;6,43725521;13,2984720753137;90;3;2;"M";"Adult";"1";1;"D";2;0,40112405428703;0,209964871805836;1,07150767496206;1,00702872822001
"318";"10743";"Schor Wilhelminapolder, Zeeland";508;97;3,599999905;-0,489961704667922;-5,31966678535533;0,186111111;0,0346373456376543;2;"2017_2018";"Oosterschelde";2,43187440190775;0,75256791668677;5,055507004;7,15183333352438;90;3;1;"F";"Adult";"1";1;"D";2;0,411285097320641;0,221332279717947;-0,708331745187117;1,00702872822001
"319";"10759";"Schor Wilhelminapolder, Zeeland";511;97;4,400000095;-0,279210708907829;-5,18871506382462;0,1875;0,03515625;2;"2017_2018";"Oosterschelde";2,43187440190775;1,2504334581911;7,610847944;11,7061855660443;90;3;2;"M";"Adult";"0";0;"D";2;0,431607198019773;0,244194596931112;0,0827081014746927;1,00702872822001
"320";"10751";"Schor Wilhelminapolder, Zeeland";520;93;2,400000095;-0,247100938913652;-5,4442712791209;0,189583333;0,0359418401513889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;6,311915024;NA;90;3;1;"F";"Adult";"0";0;"D";2;0,462090341752515;0,278806777024185;-1,89489104550003;1,00702872822001
"321";"10744";"Schor Wilhelminapolder, Zeeland";532;95;5,300000191;-0,210745922244715;-5,88081227586823;0,190277778;0,0362056328006173;2;"2017_2018";"Oosterschelde";2,43187440190775;1,40620212758074;5,210712746;10,5510638291957;90;3;2;"M";"Adult";"0";0;"D";2;0,472251399418037;0,290429171559275;0,972627812538077;1,00702872822001
"322";"10753";"Schor Wilhelminapolder, Zeeland";526;98;4,199999809;-0,202770433827086;-5,5070721801118;0,190972222;0,0364703895756173;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;4,633041553;NA;90;3;2;"M";"Adult";"0";0;"D";2;0,482412442451647;0,302094044344352;-0,115052096019458;1,00702872822001
"323";"10754";"Schor Wilhelminapolder, Zeeland";439;98;4,699999809;NA;NA;0,192361111;0,0370027970251543;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;6,170768121;NA;90;3;2;"M";"Adult";"0";0;"D";2;0,502734543150779;0,325551291731798;0,379347690724224;1,00702872822001
"324";"10755";"Schor Wilhelminapolder, Zeeland";509;92;4,599999905;-0,330835772668956;-5,48976382996224;0,19375;0,0375390625;2;"2017_2018";"Oosterschelde";2,43187440190775;1,36886527514938;7,248749051;10,7294117647613;90;3;2;"M";"Adult";"1";1;"D";2;0,523056643849911;0,349178519186523;0,280467828300246;1,00702872822001
"325";"10756";"Schor Wilhelminapolder, Zeeland";466;96;3,900000095;-0,059079135080735;-5,94745460618729;0,196527778;0,0386231675256173;2;"2017_2018";"Oosterschelde";2,43187440190775;0,60332730354671;5,827182386;13,8628603727561;90;3;2;"M";"Adult";"0";0;"D";2;0,563700845248175;0,396942914297806;-0,411691685268988;1,00702872822001
"326";"10742";"Schor Wilhelminapolder, Zeeland";534;102;4,900000095;-0,270356075938604;-5,64734778033363;0,197222222;0,0388966048506173;2;"2017_2018";"Oosterschelde";2,43187440190775;0,534004316553071;10,5435612;14,725035971397;90;3;2;"M";"Adult";"1";1;"D";2;0,573861888281786;0,408990241928296;0,577107888218374;1,00702872822001
"328";"10735";"Schor Wilhelminapolder, Zeeland";602;102;5;-0,315687810282674;-5,29050918341903;0,2;0,04;2;"2017_2018";"Oosterschelde";2,43187440190775;0,420403304182328;7,949819192;12,2108843538436;90;3;2;"M";"Adult";"1";1;"D";2;0,61450608968005;0,457604537253586;0,67598775163115;1,00702872822001
"329";"10758";"Schor Wilhelminapolder, Zeeland";508;101;3,400000095;-0,194466471876442;-5,9311836180198;0,200694444;0,0402782598524691;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;12,72013474;NA;90;3;1;"F";"Adult";"0";0;"D";2;0,62466713271366;0,469864339784596;-0,90609147201267;1,00702872822001
